Country,Original_id,Authors,Voting,Date,baseline_pred,mod_pred
ESTONIA,2401,['United Kingdom'],Y,2021-09-17,Y,Y
NIGER,2401,['United Kingdom'],Y,2021-09-17,Y,Y
SAINT VINCENT AND THE GRENADINES,2401,['United Kingdom'],Y,2021-09-17,Y,Y
CHINA,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,A,Y
FRANCE,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
RUSSIAN FEDERATION,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,N,Y
UNITED KINGDOM,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
UNITED STATES,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
KENYA,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
TUNISIA,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
IRELAND,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
NORWAY,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
MEXICO,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
VIET NAM,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
INDIA,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
ESTONIA,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
NIGER,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
SAINT VINCENT AND THE GRENADINES,2407,"['Mexico', 'United Kingdom']",Y,2021-10-29,Y,Y
BRAZIL,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
CHINA,2427,"['Albania', 'United States']",A,2022-02-27,N,N
FRANCE,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
RUSSIAN FEDERATION,2427,"['Albania', 'United States']",N,2022-02-27,N,N
UNITED KINGDOM,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
UNITED STATES,2427,"['Albania', 'United States']",Y,2022-02-27,A,Y
KENYA,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
GABON,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
IRELAND,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
NORWAY,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
MEXICO,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
GHANA,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
INDIA,2427,"['Albania', 'United States']",A,2022-02-27,Y,Y
ALBANIA,2427,"['Albania', 'United States']",Y,2022-02-27,Y,Y
UNITED ARAB EMIRATES,2427,"['Albania', 'United States']",A,2022-02-27,Y,Y
BRAZIL,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
CHINA,2448,"['Mexico', 'United States']",Y,2022-07-15,A,Y
FRANCE,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
RUSSIAN FEDERATION,2448,"['Mexico', 'United States']",Y,2022-07-15,N,Y
UNITED KINGDOM,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
UNITED STATES,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
KENYA,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
GABON,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
IRELAND,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
NORWAY,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
MEXICO,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
GHANA,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
INDIA,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
ALBANIA,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
UNITED ARAB EMIRATES,2448,"['Mexico', 'United States']",Y,2022-07-15,Y,Y
BRAZIL,2461,['Ireland'],Y,2022-11-02,Y,Y
CHINA,2461,['Ireland'],Y,2022-11-02,N,Y
FRANCE,2461,['Ireland'],Y,2022-11-02,Y,Y
RUSSIAN FEDERATION,2461,['Ireland'],Y,2022-11-02,N,N
UNITED KINGDOM,2461,['Ireland'],Y,2022-11-02,Y,Y
UNITED STATES,2461,['Ireland'],Y,2022-11-02,Y,Y
KENYA,2461,['Ireland'],Y,2022-11-02,Y,Y
GABON,2461,['Ireland'],Y,2022-11-02,Y,Y
IRELAND,2461,['Ireland'],Y,2022-11-02,Y,Y
NORWAY,2461,['Ireland'],Y,2022-11-02,Y,Y
MEXICO,2461,['Ireland'],Y,2022-11-02,Y,Y
GHANA,2461,['Ireland'],Y,2022-11-02,Y,Y
INDIA,2461,['Ireland'],Y,2022-11-02,Y,Y
ALBANIA,2461,['Ireland'],Y,2022-11-02,Y,Y
UNITED ARAB EMIRATES,2461,['Ireland'],Y,2022-11-02,Y,Y
BRAZIL,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
CHINA,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
FRANCE,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
RUSSIAN FEDERATION,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,N,Y
UNITED KINGDOM,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
UNITED STATES,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
JAPAN,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
GABON,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
GHANA,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
ALBANIA,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
UNITED ARAB EMIRATES,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
ECUADOR,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
MALTA,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
MOZAMBIQUE,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
SWITZERLAND,2481,"['Japan', 'United Arab Emirates']",Y,2023-03-16,Y,Y
BRAZIL,2482,['United States'],Y,2023-03-23,A,Y
CHINA,2482,['United States'],Y,2023-03-23,N,Y
FRANCE,2482,['United States'],Y,2023-03-23,Y,Y
RUSSIAN FEDERATION,2482,['United States'],Y,2023-03-23,N,Y
UNITED KINGDOM,2482,['United States'],Y,2023-03-23,Y,Y
UNITED STATES,2482,['United States'],Y,2023-03-23,Y,Y
JAPAN,2482,['United States'],Y,2023-03-23,Y,Y
GABON,2482,['United States'],Y,2023-03-23,A,Y
GHANA,2482,['United States'],Y,2023-03-23,A,Y
ALBANIA,2482,['United States'],Y,2023-03-23,Y,Y
UNITED ARAB EMIRATES,2482,['United States'],Y,2023-03-23,A,Y
ECUADOR,2482,['United States'],Y,2023-03-23,A,Y
MALTA,2482,['United States'],Y,2023-03-23,A,Y
MOZAMBIQUE,2482,['United States'],Y,2023-03-23,A,Y
SWITZERLAND,2482,['United States'],Y,2023-03-23,Y,Y
BRAZIL,2492,['France'],Y,2023-06-30,N,Y
CHINA,2492,['France'],Y,2023-06-30,N,Y
FRANCE,2492,['France'],Y,2023-06-30,N,Y
RUSSIAN FEDERATION,2492,['France'],Y,2023-06-30,N,Y
UNITED KINGDOM,2492,['France'],Y,2023-06-30,N,Y
UNITED STATES,2492,['France'],Y,2023-06-30,N,Y
JAPAN,2492,['France'],Y,2023-06-30,N,Y
GABON,2492,['France'],Y,2023-06-30,N,Y
GHANA,2492,['France'],Y,2023-06-30,N,Y
ALBANIA,2492,['France'],Y,2023-06-30,N,Y
UNITED ARAB EMIRATES,2492,['France'],Y,2023-06-30,N,Y
ECUADOR,2492,['France'],Y,2023-06-30,N,Y
MALTA,2492,['France'],Y,2023-06-30,N,Y
MOZAMBIQUE,2492,['France'],Y,2023-06-30,N,Y
SWITZERLAND,2492,['France'],Y,2023-06-30,N,Y
BRAZIL,2497,['France'],Y,2023-08-31,Y,Y
CHINA,2497,['France'],A,2023-08-31,A,Y
FRANCE,2497,['France'],Y,2023-08-31,Y,Y
RUSSIAN FEDERATION,2497,['France'],A,2023-08-31,N,Y
UNITED KINGDOM,2497,['France'],Y,2023-08-31,Y,Y
UNITED STATES,2497,['France'],Y,2023-08-31,Y,Y
JAPAN,2497,['France'],Y,2023-08-31,Y,Y
GABON,2497,['France'],Y,2023-08-31,Y,Y
GHANA,2497,['France'],Y,2023-08-31,Y,Y
ALBANIA,2497,['France'],Y,2023-08-31,Y,Y
UNITED ARAB EMIRATES,2497,['France'],Y,2023-08-31,Y,Y
ECUADOR,2497,['France'],Y,2023-08-31,Y,Y
MALTA,2497,['France'],Y,2023-08-31,Y,Y
MOZAMBIQUE,2497,['France'],Y,2023-08-31,Y,Y
SWITZERLAND,2497,['France'],Y,2023-08-31,Y,Y
BRAZIL,2504,['United Kingdom'],Y,2023-10-30,Y,Y
CHINA,2504,['United Kingdom'],Y,2023-10-30,Y,Y
FRANCE,2504,['United Kingdom'],Y,2023-10-30,Y,Y
RUSSIAN FEDERATION,2504,['United Kingdom'],Y,2023-10-30,N,Y
UNITED KINGDOM,2504,['United Kingdom'],Y,2023-10-30,Y,Y
UNITED STATES,2504,['United Kingdom'],Y,2023-10-30,Y,Y
JAPAN,2504,['United Kingdom'],Y,2023-10-30,Y,Y
GABON,2504,['United Kingdom'],Y,2023-10-30,Y,Y
GHANA,2504,['United Kingdom'],Y,2023-10-30,Y,Y
ALBANIA,2504,['United Kingdom'],Y,2023-10-30,Y,Y
UNITED ARAB EMIRATES,2504,['United Kingdom'],Y,2023-10-30,Y,Y
ECUADOR,2504,['United Kingdom'],Y,2023-10-30,Y,Y
MALTA,2504,['United Kingdom'],Y,2023-10-30,Y,Y
MOZAMBIQUE,2504,['United Kingdom'],Y,2023-10-30,Y,Y
SWITZERLAND,2504,['United Kingdom'],Y,2023-10-30,Y,Y
BRAZIL,2505,['United States'],Y,2023-10-30,Y,Y
CHINA,2505,['United States'],Y,2023-10-30,A,Y
FRANCE,2505,['United States'],Y,2023-10-30,Y,Y
RUSSIAN FEDERATION,2505,['United States'],A,2023-10-30,N,Y
UNITED KINGDOM,2505,['United States'],Y,2023-10-30,Y,Y
UNITED STATES,2505,['United States'],Y,2023-10-30,Y,Y
JAPAN,2505,['United States'],Y,2023-10-30,Y,Y
GABON,2505,['United States'],Y,2023-10-30,Y,Y
GHANA,2505,['United States'],Y,2023-10-30,Y,Y
ALBANIA,2505,['United States'],Y,2023-10-30,Y,Y
UNITED ARAB EMIRATES,2505,['United States'],Y,2023-10-30,Y,Y
ECUADOR,2505,['United States'],Y,2023-10-30,A,Y
MALTA,2505,['United States'],Y,2023-10-30,Y,Y
MOZAMBIQUE,2505,['United States'],A,2023-10-30,Y,Y
SWITZERLAND,2505,['United States'],Y,2023-10-30,Y,Y
BRAZIL,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
CHINA,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,A,Y
FRANCE,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
RUSSIAN FEDERATION,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,N,Y
UNITED KINGDOM,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
UNITED STATES,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,A,Y
JAPAN,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
GABON,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
GHANA,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
ALBANIA,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
UNITED ARAB EMIRATES,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
ECUADOR,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
MALTA,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
MOZAMBIQUE,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
SWITZERLAND,2517,"['Gabon', 'Ghana', 'Mozambique']",Y,2023-12-21,Y,Y
CHINA,2527,['United States'],Y,2024-03-14,Y,Y
FRANCE,2527,['United States'],Y,2024-03-14,Y,Y
RUSSIAN FEDERATION,2527,['United States'],Y,2024-03-14,N,Y
UNITED KINGDOM,2527,['United States'],Y,2024-03-14,Y,Y
UNITED STATES,2527,['United States'],Y,2024-03-14,Y,Y
REPUBLIC OF KOREA,2527,['United States'],Y,2024-03-14,Y,Y
JAPAN,2527,['United States'],Y,2024-03-14,Y,Y
SLOVENIA,2527,['United States'],Y,2024-03-14,Y,Y
ALGERIA,2527,['United States'],Y,2024-03-14,Y,Y
ECUADOR,2527,['United States'],Y,2024-03-14,Y,Y
MALTA,2527,['United States'],Y,2024-03-14,Y,Y
MOZAMBIQUE,2527,['United States'],Y,2024-03-14,Y,Y
SWITZERLAND,2527,['United States'],Y,2024-03-14,Y,Y
GUYANA,2527,['United States'],Y,2024-03-14,Y,Y
SIERRA LEONE,2527,['United States'],Y,2024-03-14,Y,Y
CHINA,2533,['United States'],Y,2024-05-31,Y,Y
FRANCE,2533,['United States'],Y,2024-05-31,Y,Y
RUSSIAN FEDERATION,2533,['United States'],Y,2024-05-31,N,Y
UNITED KINGDOM,2533,['United States'],Y,2024-05-31,Y,Y
UNITED STATES,2533,['United States'],Y,2024-05-31,Y,Y
REPUBLIC OF KOREA,2533,['United States'],Y,2024-05-31,Y,Y
JAPAN,2533,['United States'],Y,2024-05-31,Y,Y
SLOVENIA,2533,['United States'],Y,2024-05-31,Y,Y
ALGERIA,2533,['United States'],Y,2024-05-31,Y,Y
ECUADOR,2533,['United States'],Y,2024-05-31,Y,Y
MALTA,2533,['United States'],Y,2024-05-31,Y,Y
MOZAMBIQUE,2533,['United States'],Y,2024-05-31,Y,Y
SWITZERLAND,2533,['United States'],Y,2024-05-31,Y,Y
GUYANA,2533,['United States'],Y,2024-05-31,Y,Y
SIERRA LEONE,2533,['United States'],Y,2024-05-31,Y,Y
CHINA,2540,"['Japan', 'United States']",A,2024-06-27,A,Y
FRANCE,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
RUSSIAN FEDERATION,2540,"['Japan', 'United States']",A,2024-06-27,N,Y
UNITED KINGDOM,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
UNITED STATES,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
REPUBLIC OF KOREA,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
JAPAN,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
SLOVENIA,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
ALGERIA,2540,"['Japan', 'United States']",A,2024-06-27,A,Y
ECUADOR,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
MALTA,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
MOZAMBIQUE,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
SWITZERLAND,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
GUYANA,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
SIERRA LEONE,2540,"['Japan', 'United States']",Y,2024-06-27,Y,Y
CHINA,2547,"['France', 'Sierra Leone']",Y,2024-08-06,N,Y
FRANCE,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
RUSSIAN FEDERATION,2547,"['France', 'Sierra Leone']",Y,2024-08-06,N,Y
UNITED KINGDOM,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
UNITED STATES,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
REPUBLIC OF KOREA,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
JAPAN,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
SLOVENIA,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
ALGERIA,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
ECUADOR,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
MALTA,2547,"['France', 'Sierra Leone']",Y,2024-08-06,A,Y
MOZAMBIQUE,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
SWITZERLAND,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
GUYANA,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
SIERRA LEONE,2547,"['France', 'Sierra Leone']",Y,2024-08-06,Y,Y
CHINA,2550,['France'],Y,2024-08-28,A,Y
FRANCE,2550,['France'],Y,2024-08-28,Y,Y
RUSSIAN FEDERATION,2550,['France'],Y,2024-08-28,N,Y
UNITED KINGDOM,2550,['France'],Y,2024-08-28,Y,Y
UNITED STATES,2550,['France'],Y,2024-08-28,Y,Y
REPUBLIC OF KOREA,2550,['France'],Y,2024-08-28,Y,Y
JAPAN,2550,['France'],Y,2024-08-28,Y,Y
SLOVENIA,2550,['France'],Y,2024-08-28,Y,Y
ALGERIA,2550,['France'],Y,2024-08-28,A,Y
ECUADOR,2550,['France'],Y,2024-08-28,Y,Y
MALTA,2550,['France'],Y,2024-08-28,Y,Y
MOZAMBIQUE,2550,['France'],Y,2024-08-28,Y,Y
SWITZERLAND,2550,['France'],Y,2024-08-28,Y,Y
GUYANA,2550,['France'],Y,2024-08-28,Y,Y
SIERRA LEONE,2550,['France'],Y,2024-08-28,Y,Y
CHINA,2553,"['Ecuador', 'United States']",Y,2024-10-18,N,Y
FRANCE,2553,"['Ecuador', 'United States']",Y,2024-10-18,Y,Y
RUSSIAN FEDERATION,2553,"['Ecuador', 'United States']",Y,2024-10-18,N,N
UNITED KINGDOM,2553,"['Ecuador', 'United States']",Y,2024-10-18,Y,Y
UNITED STATES,2553,"['Ecuador', 'United States']",Y,2024-10-18,Y,Y
REPUBLIC OF KOREA,2553,"['Ecuador', 'United States']",Y,2024-10-18,Y,Y
JAPAN,2553,"['Ecuador', 'United States']",Y,2024-10-18,Y,Y
SLOVENIA,2553,"['Ecuador', 'United States']",Y,2024-10-18,Y,Y
ALGERIA,2553,"['Ecuador', 'United States']",Y,2024-10-18,A,Y
ECUADOR,2553,"['Ecuador', 'United States']",Y,2024-10-18,A,Y
MALTA,2553,"['Ecuador', 'United States']",Y,2024-10-18,A,Y
MOZAMBIQUE,2553,"['Ecuador', 'United States']",Y,2024-10-18,A,Y
SWITZERLAND,2553,"['Ecuador', 'United States']",Y,2024-10-18,A,Y
GUYANA,2553,"['Ecuador', 'United States']",Y,2024-10-18,Y,Y
SIERRA LEONE,2553,"['Ecuador', 'United States']",Y,2024-10-18,A,Y
CHINA,2554,['United Kingdom'],Y,2024-10-30,Y,Y
FRANCE,2554,['United Kingdom'],Y,2024-10-30,Y,Y
RUSSIAN FEDERATION,2554,['United Kingdom'],Y,2024-10-30,N,Y
UNITED KINGDOM,2554,['United Kingdom'],Y,2024-10-30,Y,Y
UNITED STATES,2554,['United Kingdom'],Y,2024-10-30,Y,Y
REPUBLIC OF KOREA,2554,['United Kingdom'],Y,2024-10-30,Y,Y
JAPAN,2554,['United Kingdom'],Y,2024-10-30,Y,Y
SLOVENIA,2554,['United Kingdom'],Y,2024-10-30,Y,Y
ALGERIA,2554,['United Kingdom'],Y,2024-10-30,Y,Y
ECUADOR,2554,['United Kingdom'],Y,2024-10-30,Y,Y
MALTA,2554,['United Kingdom'],Y,2024-10-30,Y,Y
MOZAMBIQUE,2554,['United Kingdom'],Y,2024-10-30,Y,Y
SWITZERLAND,2554,['United Kingdom'],Y,2024-10-30,Y,Y
GUYANA,2554,['United Kingdom'],Y,2024-10-30,Y,Y
SIERRA LEONE,2554,['United Kingdom'],Y,2024-10-30,Y,Y
